cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Zn,sulfate,Zinc sulfate,ZnSO4·7H2O,ZnSO4,7-hydrate,7H2O,solid,,287.5394,,-3077.75,-2562.67,,388.7,383.42,1333.4520417028066,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,oxide,,ZnS2O6·6H2O,ZnS2O6,6-hydrate,6H2O,solid,,333.5868,,-3076.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,carbonate,Zinc carbonate,ZnCO3·H2O,ZnCO3,monohydrate,H2O,solid,,143.3948,,,-970.6,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,oxide,,ZnC2O4·2H2O,ZnC2O4,dihydrate,2H2O,solid,,189.4208,,-1564.8,-1345.8,,195.4,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,fluoride,Copper(II) fluoride,CuF2·2H2O,CuF2,dihydrate,2H2O,solid,,137.5676,,,-981.4,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,chloride,Copper(II) chloride,CuCl2·2H2O,CuCl2,dihydrate,2H2O,solid,,170.4768,,-821.3,-655.9,,167.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,chloride,,CuCl2·3CuO·4H2O,CuCl2·3CuO,4-hydrate,4H2O,solid,,445.1258,,-1920.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,sulfate,Copper(II) sulfate,CuSO4·H2O,CuSO4,monohydrate,H2O,solid,,177.617,,-1085.83,-918.11,,146.0,134.0,754.4322897019993,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,sulfate,Copper(II) sulfate,CuSO4·3H2O,CuSO4,trihydrate,3H2O,solid,,213.6478,,-1684.31,-1399.96,,221.3,205.0,959.5231029760196,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,sulfate,Copper(II) sulfate,CuSO4·5H2O,CuSO4,5-hydrate,5H2O,solid,,249.6786,,-2279.65,-1879.745,,300.4,280.0,1121.44172548228,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,oxide,,CuS2O6·5H2O,CuS2O6,5-hydrate,5H2O,solid,,313.7414,,-2583.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,sulfate,langite,CuSO4·3Cu(OH)2·H2O,CuSO4·3Cu(OH)2,monohydrate,H2O,solid,,470.2814,,-2485.0,-2044.0,,335.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,fluoride,Nickel(II) fluoride,NiF2·4H2O,NiF2,4-hydrate,4H2O,solid,,168.7684,,,-1581.0,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,chloride,Nickel(II) chloride,NiCl2·2H2O,NiCl2,dihydrate,2H2O,solid,,165.6468,,-922.2,-760.1,,176.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
