"Variable","Coefficient","t-value"
"Constant",939.479,"−"
"Al2O3",5.812,10.67
"B2O3","−4.366","−6.23"
"(B 2O3)  2","−0.17367","−4.99"
"BaO","−3.385","−7.51"
"CaO","−1.791","−7.64"
"F","−9.328","−17.11"
"Fe2O3","−11.013","−8.21"
"K2O","−20.659","−22.15"
"(K O)22",0.58116,8.45
"(K2O)3","−0.009370","−5.99"
"Li2O","−25.075","−29.30"
"(Li2O)2",0.46012,16.42
"MgO",0.93,2.88
"Na2O","−19.051","−25.01"
"(Na2O)2",0.32209,8.93
"(Na 2O)  3","−0.002080","−3.59"
"P2O5",14.857,2.01
"PbO","−8.871","−57.79"
"SrO","−2.191","−4"
"TiO2","−2.862","−1.81"
"ZnO","−1.065","−1.98"
"ZrO2",12.425,7.2
"B2O3×Na2O",0.32005,13.98
"B2O3×K2O",0.42514,16.31
"B2O3×Li2O",0.39626,5.61
"B2O3×CaO","−0.24066","−9.82"
"Al2O3×Na2O",0.08442,2.71
"Al2O3×K2O",0.48055,7.95
"Na2O×K2O",0.15519,3.53
"Na2O×Li2O",0.20781,4.37
"Na2O×CaO",0.09392,6.65
"K2O×Li2O",0.46938,13.4
"K2O×MgO",0.26354,9.29
"K2O×CaO",0.47564,14.72
"MgO×CaO","−0.15553","−6.35"
"B2O3×Al2O3×Na2O","−0.033573","−6.23"
"Al2O3×Na2O×CaO","−0.006780","−2.71"
"Na2O×MgO×CaO","−0.012589","−4.64"
