"Variable","Coefficient","t-value"
"Constant",624.829,
"Al2O3",4.929,16.68
"B2O3","-1.121","-3.24"
"BaO","-1.110","-3.75"
"CaO",6.84,20.93
"(CaO)2","-0.08269","-14.07"
"F","-8.123","-9.93"
"Fe2O3","-8.453","-1.77"
"K2O","-12.460","-21.02"
"(K2O)2",0.39706,8.42
"(K O)32","-0.005382","-5.05"
"Li2O","-11.571","-19.38"
"(Li O)22",0.27802,7.75
"(Li 2O)  3","-0.002576","-4.41"
"MgO",1.141,4.41
"Na2O","-12.854","-29.36"
"(Na2O)2",0.35785,15.09
"(Na 2O)  3","-0.004179","-10.37"
"PbO","-4.349","-54.42"
"SrO",1.388,4.8
"TiO2",3.864,18.7
"ZrO2",8.927,4.82
"B2O3×Na2O",0.38413,18.1
"B2O3×CaO","-0.20958","-7.91"
"B2O3×Al2O3","-0.33380","-4.55"
"Al2O3×CaO","-0.13741","-5.44"
"Na2O×K2O",0.06169,3.35
"Na2O×Li2O",0.08558,5.26
"Na2O×CaO","-0.10283","-8.56"
"K2O×Li2O",0.17538,9.3
"K2O×MgO",0.27425,3.61
"K2O×CaO",0.2247,6.09
"MgO×CaO","-0.21563","-8.30"
"CaO×Li2O","-0.88170","-7.97"
"Al2O3×Na2O×CaO",0.013868,4.21
