formula,CID,CAS,color,boiling_point_text,Tb_C_pubchem,melting_point_text,Tm_C_pubchem,solubility,density_text,density_g_per_cm3_pubchem,vapor_pressure_text,vapor_pressure_mmHg_pubchem,decomposition_text,stability,Td_C_pubchem,flash_point_text,flash_point_C_pubchem
MgSO4,24083.0,7487-88-9,Colorless crystalline solid; Orthorhombic crystals; Opaque powder,,,Decomposes @ 1124 °C,1124.0,"710; SOL IN 2 PARTS H2O AT 20 °C /TRIHYDRATE/; In ether, 1.16 g/100 ml at 18 °C; insoluble in acetone; soluble in alcohol and glycerin; Soluble in glycerol; In water, 360 g/l @ 20 °C; Solubility in water, 20 g/100 ml at 0 °C, 73.8 g/100 ml at 100 °C.; Solubility in water, g/100ml at 20Â °C: 30 (good)",2.66 g/cmÂ³,2.66,,,1124Â °C,"FOLLOWING DATE OF MFR, MGSO4 INJECTIONS HAVE EXPIRATION DATE OF 18 MO TO 5 YR, DEPENDING ON MFR & PACKAGING /HEPTAHYDRATE/; ON EXPOSURE TO DRY AIR AT ORDINARY TEMP IT LOSES ABOUT 1 H2O; AT 70-80 °C LOSES ABOUT 4H2O; AT 100 °C LOSES 5H2O; AT 120 °C LOSES 6 H2O, RAPIDLY REABSORBING WATER WHEN EXPOSED TO MOIST AIR; LOSES THE LAST MOL OF WATER AT ABOUT 250 °C /HEPTAHYDRATE/",1124.0,,
MgCO3,11029.0,546-93-0,"Light, bulky, white powder",Decomposes,2024.0,662 °F (Decomposes),350.0,"0.01 % (NIOSH, 2024); 0.1g/L; Practically insoluble both in water or ethanol; White, friable masses or bulky, white powder; at about 700 °C is converted to MgO; sol in  about 3,300 parts CO2-free water; more sol in water containing CO2; sol in dilute acids with  effervescence; insol in alcohol /Magnesium carbonate hydroxide/; 0.0106 G/100 CC COLD WATER; SOL IN ACID, AQ CARBON DIOXIDE; INSOL IN ACETONE, AMMONIA; Insoluble in alcohol; soluble in acids; Solubility in water, g/100ml at 20Â °C: 0.01 (very poor); 0.01%",2.96,2.96,0 mmHg (approx),0.0,350Â °C,STABLE IN AIR,350.0,,
CaO2,6093208.0,1305-62-0,"Crystals or soft granules or powder; Soft, hexagonal crystals; Rhombic, trigonal, colorless crystals; Soft, white crystalline powder; White powder [Note: Readily absorbs CO2 from the air to form calcium carbonate]",Decomposes,2024.0,1076 °F (Decomposes) (Loses H2O),580.0,"0.2 % at 32 °F (NIOSH, 2024); Slightly soluble in water. Insoluble in ethanol. Soluble in glycerol; Solubility in water is decreased by the presence of fixed alkali hydroxides.; In water, 1730 mg/L at 20 °C; In water, 0.160 g/100 g water at 20 °C; Very slightly soluble in boiling water. Insoluble in alcohol.; Soluble in acid; Soluble in glycerol, sugar or ammonium chloride solution; soluble in acids with evolution of much heat; Solubility in water: none; (32 °F): 0.2%",2.24,2.24,0 mmHg (approx),0.0,580Â °C,Readily absorbs carbon dioxide from air forming calcium carbonate.,580.0,/Calcium Hydroxide is/ non flammable,
CaSO4,24497.0,7778-18-9,"NATURAL ANHYDRITE CRYSTALS ARE COLORLESS, RHOMBIC OR MONOCLINIC; NATURAL ANHYDRITE CRYSTALS ARE ORTHORHOMBIC, COLOR VARIES (WHITE WITH BLUE, GRAY OR REDDISH TINGE, OR BRICK RED); INSOL ANHYDRITE HAS SAME CRYSTAL STRUCTURE AS MINERAL ANHYDRITE; SOL ANHYDRITE IS OBTAINED IN GRANULAR OR POWDER FORM; For more Color/Form (Complete) data for CALCIUM SULFATE (7 total), please visit the HSDB record page.",Decomposes,2024.0,2840 °F (Decomposes),1560.0,"0.3 % (NIOSH, 2024); Slightly soluble in water, insoluble in ethanol; For more Solubility (Complete) data for CALCIUM SULFATE (6 total), please visit the HSDB record page.; For more Solubility (Complete) data for CALCIUM SULFATE (6 total), please visit the HSDB record page.; For more Solubility (Complete) data for CALCIUM SULFATE (6 total), please visit the HSDB record page.; For more Solubility (Complete) data for CALCIUM SULFATE (6 total), please visit the HSDB record page.; PURE ANHYDROUS SLIGHTLY SOL IN WATER; 0.209 G/100 CC & 0.1619 G/100 CC WATER AT 30 & 100 °C; SOL IN AMMONIUM SALTS, SODIUM THIOSULFATE & GLYCERINE; Solubility in water, g/100ml at 20Â °C: 0.2 (very good); 0.3%",2.96,2.96,0 mmHg (approx),0.0,1450Â °C,,1450.0,,
Ca3N2,175687737.0,,,,,,,,,,,,,,,,
Ca2P2O7,24632.0,7790-76-3,Polymorphous crystals or powder; White powder,,,1353 °C,1353.0,Insoluble in water. Soluble in dilute hydrochloric and nitric acids; Sol in dil hydrochloric and nitric acids; practically insol in water; Dilute acid; insoluble in water,3.09,3.09,,,"WHEN HEATED TO DECOMP, CAN EMIT HIGHLY TOXIC FUMES OF /PHOSPHORUS OXIDES/. /PHOSPHATES/",,,,
Ca3(PO4)2,24456.0,7758-87-4,"White amorphous powder; White, crystalline powder; Two crystalline modifications are known, the high temperature alpha- and the low-temperature beta-form, transition temperature 110 °C.; Rhombohedral crystals /Whitlockite/",,,1670 °C,1670.0,"7.7g/L; Practically insoluble in water; insoluble in ethanol, soluble in dilute hydrochloric and nitric acid; Practically insol in alcohol and acetic acid; sol in dilute hydrochloric acid, nitric acid; Solubility in cold water: 2 mg/100 cc; 2.5 mg/100 g water at 25 °C",3.14 g/cu cm,3.14,,,,"STABLE IN AIR /TRIBASIC CALCIUM PHOSPHATE, NATIONAL FORMULARY/",,,
CaHPO4,24441.0,7757-93-9,Triclinic crystals; White crystalline powder,,,,,"Sparingly soluble in water. Insoluble in ethanol; Solubility: cold water 0.0316 g/100 cc @ 38 °C; hot water 0.075 g/100 cc @ 100 °C /Calcium hydrogen phosphate dihydrate/; Practically insol in water, alc; Sol in dil hydrochloric, nitric & acetic acids","Monoclinic crystals; density: 2.31 /Calcium hydrogen phosphate dihydrate, brushite/",2.31,,,,STABLE IN AIR,,,
Ca(H2PO4)2,24454.0,7758-23-8,"SHINING TRICLINIC PLATES, CRYSTALLINE POWDER OR GRANULES; COLORLESS, PEARLY SCALES OR POWDER",,,,,Solubility: Cold water 1.8 g/100 cc @ 30 °C; decomposes in hot water. /Calcium phosphate monobasic monohydrate/; SOL IN DIL HYDROCHLORIC ACID; MODERATELY SOL IN WATER; SOL IN NITRIC ACID OR ACETIC ACID,2.220 @ 18 °C/4 °C,2.22,,,,,,,
CaCO3,10112.0,471-34-1,White hexagonal crystals or powder (Calcite); white orthrombic crystals or powder (Argonite); colorless hexagonal crystals (vaterite),Decomposes,2024.0,1517-2442 °F (Decomposes),-1374.44,"0.001 % (NIOSH, 2024); Practically insoluble in water and in alcohol. Dissolves with effervescence in diluted acetic acid, in diluted hydrochloric acid and in diluted nitric acid, and the resulting solutions, after boiling, give positive tests for calcium.; Solubility Product constant: 3.36X10-9 at 25 °C; ALKALI HYDROXIDE REDUCES ITS SOLUBILITY; INSOL IN ALCOHOL; SOLUBILITY IN H2O INCR BY AMMONIUM SALT & BY CO2; Practically insoluble in water; soluble in dilute acids; For more Solubility (Complete) data for CALCIUM CARBONATE (6 total), please visit the HSDB record page.; Solubility in water, mg/l at 25Â °C: 14 (very poor); 0.001%",2.7-2.95,2.7,0 mmHg (approx),0.0,825Â °C,Indefinite shelflife.; STABLE IN AIR,825.0,,
CaCN2,4293993.0,17292-62-5,,,,,,,,,,,,,,,
SrCO3,15407.0,1633-05-2,WHITE POWDER; Colorless or white rhombic crystalline solid transforming to hexagonal above 926 °C; White orthorhombic crystals; White crystalline powder,,,1494 °C,1494.0,"11 MG/L OF WATER AT 18 °C; 650 MG/L OF WATER AT 100 °C; Sol in ammonium salts; Sol in dilute acids; SOL IN 100,000 PARTS WATER; IN ABOUT 1000 PARTS WATER SATURATED WITH CARBON DIOXIDE.; Soluble in acids, carbonated water, and solutions of ammonium salts; Solubility in water, g/100ml at 18Â °C: 0.011 (very poor)",3.5 g/cmÂ³,3.5,,,DECOMPOSES AT 1100 °C INTO STRONTIUM OXIDE AND CARBON DIOXIDE,,1100.0,,
SrTiO3,82899.0,12060-59-2,,,,,,,,,,,,,,,
BaO2,6093286.0,17194-00-2,White powder,,,408 °C,408.0,"4.91 g/100 g water at 25 °C; Insoluble in acetone; Water solubility in wt %: 1.65%, 0 °C; 3.74%, 20 °C; 7.60%, 40 °C; 17.32%, 60 °C; 50.35%, 80 °C",Heat of fusion: 265 kJ/kg; heat-storage density: 657 MJ/cu m /Barium hydroxide octahydrate/,4.495,0 mm Hg,0.0,,,,,
BaSO4,24414.0,7727-43-7,"Fine, heavy powder or polymorphous crystals; White, orthorhombic crystals; White or yellowish powder; Opaque powder",2912 °F (Decomposes),1600.0,2876 °F,1580.0,"0.0002 % at 64 °F (NIOSH, 2024); Very slightly soluble in cold water; SOLUBILITY IN WATER INCREASES CONSIDERABLY IN PRESENCE OF CHLORIDE & OTHER ANIONS; 0.00031 g/100 g water at 20 °C; insol in ethanol; Soluble in hot concentrated sulfuric acid; practically insoluble in dilute acids and alcohol; Practically insoluble in organic solvents; very slightly soluble in alkalis and in solution of many salts; Solubility in water: none; (64 °F): 0.0002%",4.25-4.5,4.25,0 mmHg (approx),0.0,1600Â °C,,1600.0,,
Ba3N2,175687781.0,,,,,,,,,,,,,,,,
